Algorithm;Sample Size;Number Elements;avg Comparisons;avg Moves
quicksort middle pivot random;1000000;1000;10985.971;6159.4287
quicksort middle pivot random;10000;10000;155928.61;84590.83
quicksort middle pivot random;10000;20000;339103.38;182930.45
quicksort middle pivot random;1000;30000;531709.44;286036.78
quicksort middle pivot random;1000;40000;734062.06;394365.2
quicksort middle pivot random;1000;50000;940498.1;502805.56
quicksort middle pivot random;1000;60000;1148307.2;613224.1
quicksort middle pivot random;1000;70000;1363396.6;731132.75
quicksort middle pivot random;1000;80000;1576314.2;842131.4
quicksort middle pivot random;1000;90000;1795590.5;959033.06
quicksort middle pivot random;1000;100000;2014918.2;1074996.1
quicksort middle pivot random;500;200000;4305506.0;2288342.5
quicksort middle pivot random;250;300000;6714526.5;3558848.5
quicksort middle pivot random;150;400000;9150601.0;4838104.0
quicksort middle pivot random;150;500000;1.170333E7;6212926.0
quicksort middle pivot random;75;600000;1.425525E7;7513559.0
quicksort middle pivot random;75;700000;1.6819928E7;8920373.0
quicksort middle pivot random;50;800000;1.9530742E7;1.044618E7
quicksort middle pivot random;50;900000;2.2075672E7;1.164197E7
quicksort middle pivot random;50;1000000;2.483425E7;1.311004E7
quicksort middle pivot random;25;2000000;5.240834E7;2.7616262E7
quicksort middle pivot random;10;3000000;8.084548E7;4.2515972E7
quicksort middle pivot random;10;4000000;1.0891072E8;5.7219404E7
quicksort middle pivot random;10;5000000;1.39163904E8;7.3844256E7
quicksort middle pivot random;10;6000000;1.69837024E8;8.881436E7
quicksort middle pivot random;10;7000000;2.02601248E8;1.05959376E8
quicksort middle pivot random;10;8000000;2.30752128E8;1.22171664E8
quicksort middle pivot random;10;9000000;2.6425848E8;1.39945536E8
quicksort middle pivot random;10;10000000;2.96414752E8;1.55723616E8
quicksort middle pivot random;5;20000000;6.1832333E8;3.26579648E8
quicksort middle pivot random;5;30000000;9.4082829E8;4.87521184E8
quicksort middle pivot random;5;40000000;1.27864973E9;6.6746714E8
quicksort middle pivot random;5;50000000;1.63233395E9;8.4196474E8
